epoch,train_loss,val_loss,val_bleu,is_loss_best,is_bleu_best
1,8.518396027557685,7.235946893692017,0.02308253957986788,True,True
2,7.0514656162018055,6.741620063781738,0.05508842156832891,True,True
3,6.544418030077844,6.404628276824951,0.07799593164765767,True,True
4,6.219692875357235,6.165175437927246,0.07208038631831293,True,False
5,5.914705655763826,5.92753005027771,0.08125240149972296,True,True
6,5.60220288376674,5.7308125495910645,0.08163710469901607,True,True
7,5.335138638001268,5.541758298873901,0.06555428323428475,True,False
8,5.107975432939846,5.383831977844238,0.07159196875953698,True,False
9,4.907138313478826,5.264069557189941,0.04742302330024052,True,False
10,4.734729976605271,5.162384986877441,0.04040074690601033,True,False
11,4.581727757173426,5.078416585922241,0.04688666553456906,True,False
12,4.433859287320501,4.996218204498291,0.07575589391790634,True,False
13,4.309147334769559,4.938896656036377,0.03928251767789869,True,False
14,4.205582195535645,4.926366329193115,0.05659929337362276,True,False
15,4.119512824451222,4.881274938583374,0.0590280189381942,True,False
16,4.047249454366582,4.870332717895508,0.048188934714480165,True,False
17,3.985811655478709,4.829188585281372,0.0464497485626344,True,False
18,3.932040248685481,4.808172941207886,0.06396532821082564,True,False
19,3.884761368832015,4.784149885177612,0.057673794739409916,True,False
20,3.840988552478878,4.795280694961548,0.04846475897877322,False,False
21,3.803459380898634,4.812193393707275,0.05462546637159526,False,False
22,3.7672461542631965,4.799483299255371,0.04803225663186228,False,False
23,3.737819503945158,4.767118453979492,0.04999175964932442,True,False
24,3.7072480121232054,4.796703815460205,0.04336153101444877,False,False
25,3.6820384541435924,4.79075288772583,0.0744594880605185,False,False
26,3.6568406335533123,4.776278495788574,0.05565485432788297,False,False
27,3.6332509316446835,4.774447679519653,0.06079984542218384,False,False
28,3.6122432834352067,4.772662401199341,0.06302785600625509,False,False
29,3.5928017123580895,4.763063192367554,0.06205914712197475,True,False
30,3.5729068660979992,4.763146877288818,0.06174248744071317,False,False
31,3.5562671919917817,4.763097763061523,0.0765534517132234,False,False
32,3.540024062251801,4.771790504455566,0.059353327528780316,False,False
33,3.524551575750951,4.768191337585449,0.07162066545074401,False,False
34,3.5097755032122286,4.7716383934021,0.061548429157596896,False,False
35,3.4934648168666285,4.757676124572754,0.08518864408589101,True,True
36,3.4825653456665977,4.758377313613892,0.09013435738212566,False,True
37,3.4687547171512225,4.776456117630005,0.08222134951298105,False,False
38,3.4566817265337386,4.7536444664001465,0.07661668342943832,True,False
39,3.4452077665597276,4.7705700397491455,0.06828472171576669,False,False
40,3.434451901394388,4.756603240966797,0.06762799510875951,False,False
41,3.424049742691352,4.776255130767822,0.07373496717013973,False,False
42,3.414568175440249,4.763612508773804,0.07964612992056987,False,False
43,3.403512657755781,4.780767440795898,0.058244973479002704,False,False
44,3.3955373617694202,4.785396337509155,0.08314482769853736,False,False
45,3.385250035454245,4.773772716522217,0.092533086019723,False,True
46,3.377784585708852,4.790270566940308,0.07526631145632773,False,False
47,3.369949433504773,4.772999286651611,0.07422589773620966,False,False
48,3.3605363222644153,4.79569673538208,0.10006558003162011,False,True
49,3.3533754556075386,4.7942657470703125,0.08510996418595493,False,False
50,3.346924669602338,4.774739503860474,0.08195241150125282,False,False
